title,language,year,genres,rating,votes,director,url
Pacific Rim,English,2010,Sci-Fi,7.0,24,S.DeKnight,netflix.com/watch/70267241?trackId=13752289&tctx=0%2C0%2C87362a9439875ac9446c97667a8e3b85c5be0b7b%3A454fdae8ebe26a3c56af9c5b8e640700d38a29bc%2C87362a9439875ac9446c97667a8e3b85c5be0b7b%3A454fdae8ebe26a3c56af9c5b8e640700d38a29bc%2Cunknown%2C
Inception,English,2010,Action-Adventure-Sci-Fi,6.0,45,Christopher Nolan,https://www.primevideo.com/detail/0JTBVK6L41AABWSV8DK605AI0U/ref=atv_dp_share_cu_r
The Lords of the Rings,English,2003,Action-Adventure-Drama,8.0,34,Peter Jackson,https://www.primevideo.com/detail/0FSE38UKJHOAVCFO52Q0UGZCPU/ref=atv_sr_fle_c_Tn74RA__3_1_3?sr=1-3&pageTypeIdSource=ASIN&pageTypeId=B078YFN1WX&qid=1632980956
The Good bad and the ugly,English,1966,Western,8.8,35,Sergio Leone,https://www.youtube.com/watch?v=4oCdwxmeM2A
Soorarai Pottru,Tamil,2020,Drama,9.1,45,Sudha Kongara,https://www.primevideo.com/detail/0RIGXSH2D86B5V2RNHQOZVRGAD/ref=atv_dp_share_cu_r
Asuran,Tamil,2019,Action-Drama,8.6,78,Vetrimaaran,https://www.primevideo.com/detail/0HKDU9UHCT9KMIBITSXWL87Z20/ref=atv_dp_share_cu_r
Annabelle Sethupathi,Tamil,2021,Comedy-Fantasy-Horror,4.23,57,Deepak Sundarrajan,Not Available
Raatchasi,Tamil,2018,Action-Crime-Drama,8.4,23,Ram Kumar,https://www.primevideo.com/search/ref=atv_sr_sug_4?phrase=raatchasi&ie=UTF8
Vikram Vedha,Tamil,2017,Action-Crime-Drama,8.3,34,Gayathri and Pushakar,https://www.primevideo.com/detail/0OJWS6FDB5T9R1RJX65FAAI10M/ref=atv_dp_share_cu_r
96,Tamil,2018,Action-Drama,8.94,36,C.Prem kumar,https://www.primevideo.com/detail/0J3TZ065I2P6GQMI90QJKZ6GK8/ref=atv_dp_share_cu_r
3 idiots,Hindi,2009,Comedy,9.45,57,Rajkuamr Hirani,https://www.primevideo.com/detail/0LH1GMRIWABG6AFSW62O3BJJHH/ref=atv_dp_share_cu_r
Theri,Tamil,2016,Thriller-Action,7.4,23,Atlee Kumar,https://www.primevideo.com/detail/0QFZGMPQJWSRSJCCETJSAWY3IH/ref=atv_dp_share_cu_r
Bigil,Tamil,2019,Action,7.0,14,Atlee Kumar,https://www.primevideo.com/detail/0STBXI66Z6MYO3WC6GNXCSX4Y3/ref=atv_dp_share_cu_r
Black Friday,Hindi,2004,Drama-Thriller,7.6,23,Anurag Kashyap,https://www.netflix.com/watch/70077720?trackId=14277281&tctx=-97%2C-97%2C%2C%2C%2C
Dabangg 2,Hindi,2010,Action-Drama-Musical,6.45445,46,Abhinav Kashyap,https://www.youtube.com/watch?v=C4X1f3JTbdI
Back To the future ,English,1985,Scifi,8.5,13,Robert Zemekis,https://www.youtube.com/watch?v=5uWMYreiCQM
Terminator 2 ,English,1991,Sci-fi-Action,7.6,25,James Cameron,https://www.youtube.com/watch?v=C4sWYil4LR4
Wall E,English,2008,Animation,8.25,35,Andrew Stanton,https://www.youtube.com/watch?v=kfBXVioqRxU
Spiderman :into the spiderverse,English,2018,Action-Family,8.57,24,Peter Ramsey,https://www.youtube.com/watch?v=gHDtTn3x_3A
