title,language,year,genres,rating,director,url
Pacific Rim : Uprising,English,2014,Sci-Fi,7,S.DeKnight,
Inception,English,2010,Action-Adventure-Sci-Fi,6,Christopher Nolan,https://www.primevideo.com/detail/0JTBVK6L41AABWSV8DK605AI0U/ref=atv_dp_share_cu_r
The Lords of the Rings,English,2003,Action-Adventure-Drama,8,Peter Jackson
The Good bad and the ugly,English,1966,Western,8.8,Sergio Leone,
Soorarai Pottru,Tamil,2020,Drama,9.1,Sudha Kongara,https://www.primevideo.com/detail/0RIGXSH2D86B5V2RNHQOZVRGAD/ref=atv_dp_share_cu_r
Asuran,Tamil,2019,Action-Drama,8.5,Vetrimaaran,https://www.primevideo.com/detail/0HKDU9UHCT9KMIBITSXWL87Z20/ref=atv_dp_share_cu_r
Annabelle Sethupathi,Tamil,2021,Comedy-Fantasy-Horror,3.9,Deepak Sundarrajan,
Raatchasan,Tamil,2018,Action-Crime-Drama,8.4,Ram Kumar,
Vikram Vedha,Tamil,2017,Action-Crime-Drama,8.3,Gayathri and Pushakar,https://www.primevideo.com/detail/0OJWS6FDB5T9R1RJX65FAAI10M/ref=atv_dp_share_cu_r
96,Tamil,2018,Action-Drama,8.4,C.Prem kumar,https://www.primevideo.com/detail/0J3TZ065I2P6GQMI90QJKZ6GK8/ref=atv_dp_share_cu_r
3 idiots,Hindi,2009,Comedy,9,Rajkuamr Hirani,https://www.primevideo.com/detail/0LH1GMRIWABG6AFSW62O3BJJHH/ref=atv_dp_share_cu_r
Theri,Tamil,2016,Thriller-Action,7.4,Atlee Kumar,https://www.primevideo.com/detail/0QFZGMPQJWSRSJCCETJSAWY3IH/ref=atv_dp_share_cu_r
Bigil,Tamil,2019,Action,7,Atlee Kumar,https://www.primevideo.com/detail/0STBXI66Z6MYO3WC6GNXCSX4Y3/ref=atv_dp_share_cu_r
Black Friday,Hindi,2004,Drama-Thriller,7.6,Anurag Kashyap,
Dabangg,Hindi,2010,Action-Drama-Musical,6.2,Abhinav Kashyap,
Back To the future ,English,1985,Scifi,8.5,Robert Zemekis,
Terminator 2 ,English,1991,Sci-fi-Action,8.5,James Cameron,
Wall E,English,2008,Animation,8.4,Andrew Stanton,
Spiderman :into the spiderverse,English,2018,Action-Family,8.4,Peter Ramsey,
